city_key,town,npc_id,npc_name,map_x_percent,map_y_percent,distinct_quest_count,route_ordinals,route_names,legacy_names,display_names,effective_levels,ordered_uses_json,chain_status
fort,Temporary Fort of Geum-Ohee Castle,1,Fort Guard [Gai-Gi],40.4,5.1,1,39,Quest 31,Undetected Ghost,Undetected Ghost,37,"[{""route_ordinal"":39,""route_name"":""Quest 31"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":39,""route_name"":""Quest 31"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,10,Fort Guard [Soo-Sung],33.6,31.2,1,40,Quest 32,Dilemma of Jae-Ga Troop's Scouts,Dilemma of Jae-Ga Troop's Scouts,38,"[{""route_ordinal"":40,""route_name"":""Quest 32"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":40,""route_name"":""Quest 32"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,11,Mask of Ghost Hunter [Woo-Jong],37.0,28.5,1,45,Quest 36,Mask of Pain,Mask of Pain,41,"[{""route_ordinal"":45,""route_name"":""Quest 36"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":45,""route_name"":""Quest 36"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,12,Mask of Ghost Hunter [Jwa-Ill],38.7,28.9,1,47,Quest 38,Masks of Greed,Masks of Greed,42,"[{""route_ordinal"":47,""route_name"":""Quest 38"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":47,""route_name"":""Quest 38"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,13,Mask of Ghost Hunter [Geun-Pyung],40.6,29.2,1,49,Quest 40,Masks of Jealousy,Masks of Jealousy,43,"[{""route_ordinal"":49,""route_name"":""Quest 40"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":49,""route_name"":""Quest 40"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,14,Mask of Ghost Hunter [Dan-Joong],42.1,29.2,1,51,Quest 42,Masks of Hatred,Masks of Hatred,44,"[{""route_ordinal"":51,""route_name"":""Quest 42"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":51,""route_name"":""Quest 42"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,15,Mask of Ghost Hunter [Choi-Choong],44.2,29.6,1,55,Quest 44,Masks of Madness,Masks of Madness,45,"[{""route_ordinal"":55,""route_name"":""Quest 44"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":55,""route_name"":""Quest 44"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,16,Jin-Haeryang,46.7,31.6,1,32,Event Quest 9 — Trinket’s Quest,Entering the Government Service /a,Entering the Government Service /a,30,"[{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":2,""label"":""Talk""},{""route_ordinal"":32,""route_name"":""Event Quest 9 — Trinket’s Quest"",""step_ordinal"":4,""label"":""Report""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,19,Soldier from Troop of [Yoo-Sang],56.3,27.3,1,41,Quest 33,Devil Soldier with Bow,Devil Soldier with Bow,39,"[{""route_ordinal"":41,""route_name"":""Quest 33"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":41,""route_name"":""Quest 33"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
fort,Temporary Fort of Geum-Ohee Castle,2,Soldier from Troop of Jae-Ga [Lim-Gang],41.2,16.4,1,42,Quest 34,Lim-Gang's Favor,Lim-Gang's Favor,40,"[{""route_ordinal"":42,""route_name"":""Quest 34"",""step_ordinal"":1,""label"":""Talk""},{""route_ordinal"":42,""route_name"":""Quest 34"",""step_ordinal"":3,""label"":""Turn in""}]",single-quest
