que_id,step_index,step_text,items_json,provenance,source_file,source_line
1,1,Show Gwang-Chun's letter to Nu-Rook. Nu-Rook will give you Gwang-Chun's goods.,"[{""item_id"":""132"",""count"":""1""}]",bango-file,questlist.dat,3
1,2,Receive the goods from Nu-Rook and submit it to Gwang-Chun in Narootuh village.,"[{""item_id"":""142"",""count"":""1""}]",bango-file,questlist.dat,3
2,1,"Collect the secret message from lower class demons. Give it back to Chief guard, Sea-Geun and you'll get some reward.","[{""item_id"":""140"",""count"":""1""}]",bango-file,questlist.dat,4
3,1,"Chief guard, Mak-Ahnsoo asked you to collect the information of attack. Find the map of demons and go to Mak-Ahnsoo.","[{""item_id"":""146"",""count"":""1""}]",bango-file,questlist.dat,5
3,2,"The demon's target was Jook-Suh Cargo Station not Narootuh. People who doesn't know this situation will be in danger. The chief guard, Mak-Ahnsoo give the information of demons' attack to the general, Sae-won. Go and see the general, Sae-won.","[{""item_id"":""133"",""count"":""1""}]",bango-file,questlist.dat,5
3,3,"general, Sae-won found out the enemies' location but he doesn't have enough force. The general, Sae-won finished writing letter for help to the chief guard, Mak-Ahnsoo so go to see the chief guard, Mak-Ahnsoo.","[{""item_id"":""134"",""count"":""1""}]",bango-file,questlist.dat,5
54,1,Get a Demon Vulgar's head and give it to the guard.,"[{""item_id"":""396"",""count"":""1""}]",bango-file,questlist.dat,6
55,1,Get a Demon Scout's head and give it to the guard.,"[{""item_id"":""397"",""count"":""1""}]",bango-file,questlist.dat,7
56,1,Get a Demon Spear's head and give it to the guard.,"[{""item_id"":""398"",""count"":""1""}]",bango-file,questlist.dat,8
9001,1,Go to Chun-Sooin and say thank you. He's your life saver.,[],bango-file,questlist.dat,9
9001,2,Chun-Sooin asks you for taking a stirrup back from the demons. The stirrup is taken by the low level of demons(Demon Plunderer). Find the stirrup for helping Chun-Sooin.,"[{""item_id"":""169"",""count"":""1""}]",bango-file,questlist.dat,9
9002,1,"The strategist of general, In-Pill, Sae-Ryu is now accepting the application for being a soldier. Meet Sae-Ryu for the application.",[],bango-file,questlist.dat,10
9002,2,Sae-Ryu wants to test your ability. And he asked you to collect 30 Demon Escort's Heads.,"[{""item_id"":""170"",""count"":""30""}]",bango-file,questlist.dat,10
9002,3,"Sae-Ryu admitted your ability and gave you a recommendation for the general, In-Pill. Meet the general, In-Pill in Jook-Suh Cargo Station.",[],bango-file,questlist.dat,10
9002,4,"The general, In-Pill hired you and gave you a mission. The mission is to eliminate all the Big Handed Inhabitants located between Geum-Oh Mine and Narootuh. And get its Head as evidence. This is your first mission from the general and you must complete it successfully.","[{""item_id"":""171"",""count"":""1""}]",bango-file,questlist.dat,10
9002,5,"The general, In-Pill is proud of your achievement and he gave you the second mission. Get your second mission from Sae-Ryu.",[],bango-file,questlist.dat,10
9002,6,"Sae-Ryu wants you to take a scabbard back. It's In-Pill占쏙옙s Scabbard and it's lost from the battle. It must be kept by the Demon Carcass Scavenger. Get the scabbard and give it back to the general, In-Pill.","[{""item_id"":""172"",""count"":""1""}]",bango-file,questlist.dat,10
9003,1,The Big Handed Blue Warriors are blocking the southern entrance of the Geum-Oh Mine. Eliminate the Big Handed Blue Warriors and bring their heads to HyungJoo-SeungGong in Guem-Oh Mine. He will be happy if you give 40 heads to HyungJoo-SeungGong.,"[{""item_id"":""173"",""count"":""40""}]",bango-file,questlist.dat,11
