bango_key,bango_definition_ordinal,skill_name,scope,client_level_bands_json,client_cumulative_max_grades_json,client_incremental_grade_counts_json,client_schedule_format,client_max_grade,schedule_state,legacy_position,legacy_schedule_format,match_method,comparison_classification,verification_status,free_upgrade_status,bango_grade_json_status,notes,provenance,source_file,source_line
common-11,1,Rest,common,[1],[3],[3],1|3,3,client-schedule-resolved,,,none,no-legacy-twin,bango-only-inferred,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,53
common-0,1,Run,common,[],[1],[],,1,fixed-grade-without-level-gate,,,none,no-legacy-twin,contested,not-established,advancement-gating-metadata-not-skill-grade-budget,"The client declares a fixed maximum grade but no player level gate, so no investment schedule is inferred.",bango-file,jobsystem.dat,68
common-1,1,Beheading,common,[],[1],[],,1,fixed-grade-without-level-gate,,,none,no-legacy-twin,contested,not-established,advancement-gating-metadata-not-skill-grade-budget,"The client declares a fixed maximum grade but no player level gate, so no investment schedule is inferred.",bango-file,jobsystem.dat,81
common-100,1,Baby Transformation,common,[],[1],[],,1,fixed-grade-without-level-gate,,,none,no-legacy-twin,contested,not-established,advancement-gating-metadata-not-skill-grade-budget,"The client declares a fixed maximum grade but no player level gate, so no investment schedule is inferred.",bango-file,jobsystem.dat,109
common-101,1,Young Transformation,common,[],[1],[],,1,fixed-grade-without-level-gate,,,none,no-legacy-twin,contested,not-established,advancement-gating-metadata-not-skill-grade-budget,"The client declares a fixed maximum grade but no player level gate, so no investment schedule is inferred.",bango-file,jobsystem.dat,125
common-102,1,Adult Transformation,common,[],[1],[],,1,fixed-grade-without-level-gate,,,none,no-legacy-twin,contested,not-established,advancement-gating-metadata-not-skill-grade-budget,"The client declares a fixed maximum grade but no player level gate, so no investment schedule is inferred.",bango-file,jobsystem.dat,141
common-103,1,Amogae Transformation,common,[],[1],[],,1,fixed-grade-without-level-gate,,,none,no-legacy-twin,contested,not-established,advancement-gating-metadata-not-skill-grade-budget,"The client declares a fixed maximum grade but no player level gate, so no investment schedule is inferred.",bango-file,jobsystem.dat,157
thief-2,1,Attack Power Up,thief,[1],[10],[10],1|10,10,client-schedule-resolved,22,1 60|10 2,normalized-name-and-class,free-band-omitted,contested,legacy-free-band-omitted-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,Bango reproduces every declared band but omits the legacy level-60 automatic/free band. Client files cannot prove whether the live server still grants it.,bango-file,jobsystem.dat,205
thief-3,1,Increase Target Rate,thief,[5],[10],[10],5|10,10,client-schedule-resolved,22,10 60|10 2,normalized-name-and-class,bango-modification,contested,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,The class-scoped schedules disagree. Bango wins for its declared bands; the disagreement remains visible.,bango-file,jobsystem.dat,206
thief-4,1,Increase Critical Rate,thief,[19],[10],[10],19|10,10,client-schedule-resolved,22,19 60|10 2,normalized-name-and-class,free-band-omitted,contested,legacy-free-band-omitted-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,Bango reproduces every declared band but omits the legacy level-60 automatic/free band. Client files cannot prove whether the live server still grants it.,bango-file,jobsystem.dat,207
thief-5,1,Increase Critical Damage,thief,[24],[10],[10],24|10,10,client-schedule-resolved,22,24 60|10 2,normalized-name-and-class,free-band-omitted,contested,legacy-free-band-omitted-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,Bango reproduces every declared band but omits the legacy level-60 automatic/free band. Client files cannot prove whether the live server still grants it.,bango-file,jobsystem.dat,208
thief-6,1,Hiding,thief,[15],[3],[3],15|3,3,client-schedule-resolved,22,15|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,209
thief-7,1,Assault,thief,[19],[5],[5],19|5,5,client-schedule-resolved,22,19|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,210
thief-8,1,Stun,thief,[30],[3],[3],30|3,3,client-schedule-resolved,23,30|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,212
thief-9,1,Confusion,thief,[30],[3],[3],30|3,3,client-schedule-resolved,23,30|3,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,213
thief-10,1,Strangle,thief,[35],[5],[5],35|5,5,client-schedule-resolved,23,35|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,214
thief-12,1,Dual Shadow,thief,[40],[5],[5],40|5,5,client-schedule-resolved,23,40|5,normalized-name-and-class,reproduces-legacy,reproduces-legacy,legacy-rule-bango-retention-unverified,advancement-gating-metadata-not-skill-grade-budget,,bango-file,jobsystem.dat,215
