route_ordinal,stage_ordinal,stage_id,stage_title,stage_level,stage_where,stage_combo,quest_ordinal_in_stage,route_name,route_type,route_number,route_level,minimum_level,friend_reward,friend_experience,friend_geons,friend_contribution,friend_skill_points,reward_is_approximate,items_json,monsters_json,steps_json,legacy_type,legacy_id,legacy_name,legacy_match_method,bango_que_id,bango_name,bango_level,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,match_method,match_score,match_candidates,level_disagrees,experience_disagrees,contribution_disagrees,skill_points_disagree,status,effective_level,effective_experience,effective_contribution,effective_skill_points
1,1,s1-1,Stage 1 — Narootuh starter batch,Lv 0-1,Stay in Narootuh the whole stage.,,1,Quest 1,Quest,1,Lv 0,0,"80 XP, 3 Small Medicines",80,0,0,0,false,"[""1.png""]","[""ms_m1_01.jpg"",""ms_m1_02.jpg"",""ms_m1_03.jpg"",""ms_m1_04.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""21"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Lower Class Demons for \""Shee-Geun’s Message\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""21"",""label"":""Turn in""}]",Quest,02,Message Collection,route-number-to-legacy-name-override,2,Message Collection,1,50,0,0,,"Collect the secret message from lower class demons. Give it back to Chief guard, Sea-Geun and you'll get some reward.|140:1",exact-normalized-name,0.860,,true,true,false,false,matched-disagrees,1,50,0,0
2,1,s1-1,Stage 1 — Narootuh starter batch,Lv 0-1,Stay in Narootuh the whole stage.,,2,Event Quest 1,Event,1,Lv 0,0,100 XP,100,0,0,0,false,"[""ev1.png""]","[""ms_m1_04.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""26"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Plunderers for \""Chun-SooIn’s Stirrup\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""26"",""label"":""Turn in""}]",,,,no-confident-legacy-name,9001,[Event] Beginning of Long Journey,1,100,0,0,,Go to Chun-Sooin and say thank you. He's your life saver.|;Chun-Sooin asks you for taking a stirrup back from the demons. The stirrup is taken by the low level of demons(Demon Plunderer). Find the stirrup for helping Chun-Sooin.|169:1,registered-route-objective-to-bango-name,1.000,,true,false,false,false,matched-disagrees,1,100,0,0
3,2,s1-2,Stage 2 — Narootuh ↔ Jook-Suh shuttle,Lv 0,Do both quests back-to-back — same round trip.,,1,Quest 2,Quest,2,Lv 0,0,"100 geons, 2 Small Medicines",0,100,0,0,false,[],[],"[{""type"":""talk"",""city"":""naroo"",""pin"":""52"",""label"":""Talk""},{""type"":""talk"",""city"":""jook"",""pin"":""6"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""52"",""label"":""Turn in""}]",Quest,01,Favor of Sailor Gwang-Chun,route-number-to-legacy-name-override,1,"Sailor, Gwang-Chun's Favor",1,0,0,0,,Show Gwang-Chun's letter to Nu-Rook. Nu-Rook will give you Gwang-Chun's goods.|132:1;Receive the goods from Nu-Rook and submit it to Gwang-Chun in Narootuh village.|142:1,name-content-and-level,0.747,,true,false,false,false,matched-disagrees,1,0,0,0
4,2,s1-2,Stage 2 — Narootuh ↔ Jook-Suh shuttle,Lv 0,Do both quests back-to-back — same round trip.,,2,Quest 3,Quest,3,Lv 0,0,"73 XP, 200 geons, 1 Contribution Point",73,200,1,0,false,"[""3.png""]","[""ms_m1_03.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""51"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon SpearHead for \""Demon’s Strategic Map\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""51"",""label"":""Report""},{""type"":""talk"",""city"":""jook"",""pin"":""10"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""51"",""label"":""Turn in""}]",Quest,03,Grasp the Situation of Demons,route-number-to-legacy-name,3,Grasp the Situation of Demons,1,0,1,0,,"Chief guard, Mak-Ahnsoo asked you to collect the information of attack. Find the map of demons and go to Mak-Ahnsoo.|146:1;The demon's target was Jook-Suh Cargo Station not Narootuh. People who doesn't know this situation will be in danger. The chief guard, Mak-Ahnsoo give the information of demons' attack to the general, Sae-won. Go and see the general, Sae-won.|133:1;general, Sae-won found out the enemies' location but he doesn't have enough force. The general, Sae-won finished writing letter for help to the chief guard, Mak-Ahnsoo so go to see the chief guard, Mak-Ahnsoo.|134:1",exact-normalized-name,0.819,,true,true,false,false,matched-disagrees,1,0,1,0
5,3,s1-3,Stage 3 — Demon Escort Archers,Lv 6,Narootuh only.,,1,Quest 4,Quest,4,Lv 6,6,"542 XP, 1 Contribution Point",542,0,1,0,false,"[""4.png""]","[""ms_m1_07.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""24"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""35"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Escort Archers for 10x \""Demon’s Bow\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""35"",""label"":""Report""},{""type"":""talk"",""city"":""naroo"",""pin"":""24"",""label"":""Turn in""}]",Quest,04,"General, Poong-seup's Missing",route-number-to-legacy-name,4,"General, Poong-seup's Missing",6,844,1,0,2,"Ji-hun is looking for the general, Poong-seup. Please find the general, Poong-seup. Chief Guard, Joo-Jimin knows where he is. Go to meet Joo-Jimin.|;The chief, Joo-Jimin want you to prove that you're not a spy if you want to know about the general, Poong-seup. Hunt Demon escort archer and get 10 demon's bows.|147:10;The general, Poong-seup has won the battle in Chung-Song and he's defending Chung-Song. Talk to the farmer, Ji-Hun about the general, Poong-seup.|",exact-normalized-name,0.819,,false,true,false,false,matched-disagrees,6,844,1,0
6,4,s1-4,Stage 4 — Suicide Bombers,Lv 8,Jook-Suh → Geum-Oh Mine → Jook-Suh.,,1,Quest 5,Quest,5,Lv 8,8,"1,184 XP, 1 Contribution Point",1184,0,1,0,false,"[""5.png""]","[""ms_m1_08.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""17"",""label"":""Talk""},{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Suicide Bombers for 10x \""Suicide Bomber’s Oil\""""},{""type"":""talk"",""city"":""geum"",""pin"":""4"",""label"":""Report""},{""type"":""talk"",""city"":""jook"",""pin"":""17"",""label"":""Turn in""}]",Quest,05,"Farmer, Noo-Woong's Favor",route-number-to-legacy-name,5,"Farmer, Nu-Woong's Favor",8,1157,1,0,,"Gwee-Sik borrowed money from Nu-Woong. Find Gwee-Sik and get the money back to Nu-Woong.|135:1;The miner, Gwee-Sik can't work because the demon called Suicide bombers attack people. Hunt the Suicide bomber and collect 10 Suicide bomber's oil for proof.|148:10;Gwee-Sik made money from the mine. Give the money from Gwee-Sik to Nu-Woong.|143:1",name-content-and-level,0.659,,false,true,false,false,matched-disagrees,8,1157,1,0
7,5,s1-5,Stage 5 — Demon Carcass Scavenger combo,Lv 10,Narootuh (accept) → Jook-Suh (accept + turn in) → Narootuh (turn in).,"Quest 6 and Event Quest 3 both farm Demon Carcass Scavenger (plus Big Handed Inhabitants for Quest 6). Accept both before you start killing — one camp clear covers both turn-ins. Keep grinding the same mob a little longer: Quest 8 (Stage 7, Lv 12) wants 25x Demon’s Carcass from the exact same monster.",1,Quest 6,Quest,6,Lv 10,10,"2,436 XP, 1 Contribution Point",2436,0,1,0,false,"[""6.png"",""60.png""]","[""ms_m2_01.jpg"",""ms_m3_01.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""23"",""label"":""Talk""},{""type"":""talk"",""city"":""jook"",""pin"":""17"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""23"",""label"":""Report""},{""type"":""talk"",""city"":""naroo"",""pin"":""52"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Big Handed Inhabitants for 15x tooth""},{""type"":""talk"",""city"":""naroo"",""pin"":""52"",""label"":""Report""},{""type"":""action"",""text"":""Kill Demon Carcass Scavengers for 2x \""Straw Rice\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""23"",""label"":""Turn in""}]",Quest,06,"Farmer, Ha-Jik's Favor",route-number-to-legacy-name,6,"Farmer, Ha-Jik's Favor",10,2250,1,0,5,"The farmer Ha-Jik asked the farmer, Nu-Woong to deliver the rice. Inquire that the rice's arrived safely.|;The farmer, Nu-Woong didn't get the rice.  Inquire what happened to the farmer Ha-Jik.|;The farmer, Ha-Jik asked the boatman, Gwang-chun to deliver the rice. Inquire what happened to the boatman, Gwang-chun.|;The boatman, Gwang-chun couldn't deliver the rice because of the Big handed inhabitants. Hunt the Big handed inhabitant and collect 15 Big handed inhabitant's teeth.|149:15;The boatman, Gwang-chun'rice has be stolen. Hunt the Demon carcass scavenger and collect 2 bags of rice.|151:2",exact-normalized-name,0.846,,false,true,false,false,matched-disagrees,10,2250,1,0
8,5,s1-5,Stage 5 — Demon Carcass Scavenger combo,Lv 10,Narootuh (accept) → Jook-Suh (accept + turn in) → Narootuh (turn in).,"Quest 6 and Event Quest 3 both farm Demon Carcass Scavenger (plus Big Handed Inhabitants for Quest 6). Accept both before you start killing — one camp clear covers both turn-ins. Keep grinding the same mob a little longer: Quest 8 (Stage 7, Lv 12) wants 25x Demon’s Carcass from the exact same monster.",2,Event Quest 3,Event,3,Lv 10,10,662 XP,662,0,0,0,false,"[""ev2.png"",""ev2-2.png"",""ev2-3.png""]","[""ms_m1_07.jpg"",""ms_m1_06.jpg"",""ms_m2_01.jpg"",""ms_m3_01.jpg""]","[{""type"":""talk"",""city"":""naroo"",""pin"":""55"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Escort Archer/Soldier for 30x \""Escort Soldier’s Head\""""},{""type"":""talk"",""city"":""naroo"",""pin"":""55"",""label"":""Report""},{""type"":""talk"",""city"":""naroo"",""pin"":""55"",""label"":""Report again""},{""type"":""talk"",""city"":""jook"",""pin"":""18"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Big Handed for \""Big Handed Inhabitant’s Head\""""},{""type"":""talk"",""city"":""jook"",""pin"":""18"",""label"":""Report""},{""type"":""talk"",""city"":""naroo"",""pin"":""55"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Demon Carcass Scavengers for \""In-Pills Scabbard\""""},{""type"":""talk"",""city"":""jook"",""pin"":""18"",""label"":""Turn in""}]",,,,no-confident-legacy-name,9002,[Event] Appointment of General In-Pill,1,1200,0,0,9001,"The strategist of general, In-Pill, Sae-Ryu is now accepting the application for being a soldier. Meet Sae-Ryu for the application.|;Sae-Ryu wants to test your ability. And he asked you to collect 30 Demon Escort's Heads.|170:30;Sae-Ryu admitted your ability and gave you a recommendation for the general, In-Pill. Meet the general, In-Pill in Jook-Suh Cargo Station.|;The general, In-Pill hired you and gave you a mission. The mission is to eliminate all the Big Handed Inhabitants located between Geum-Oh Mine and Narootuh. And get its Head as evidence. This is your first mission from the general and you must complete it successfully.|171:1;The general, In-Pill is proud of your achievement and he gave you the second mission. Get your second mission from Sae-Ryu.|;Sae-Ryu wants you to take a scabbard back. It's In-Pill占쏙옙s Scabbard and it's lost from the battle. It must be kept by the Demon Carcass Scavenger. Get the scabbard and give it back to the general, In-Pill.|172:1",registered-route-objective-to-bango-name,1.000,,true,true,false,false,matched-disagrees,1,1200,0,0
9,6,s1-6,Stage 6 — Accept and hold: Big Handed Warriors,"Lv 0 req., save the grind for Lv 15-16","Geum-Oh Mine — quick stop, then move on.","Event Quest 5 drops from Big Handed Blue/Red Warrior — the exact same mobs Quest 11 and Quest 12 need (Stage 10). No level requirement, so grab it now, but hold the farming until Stage 10.",1,Event Quest 5 (accept only),Event,5,Lv 0,0,"1,782 XP (turn in during Stage 10)",1782,0,0,0,false,"[""ev2-2.png""]","[""ms_m2_04.jpg"",""ms_m2_03.jpg""]","[{""type"":""talk"",""city"":""geum"",""pin"":""1"",""label"":""Accept""}]",,,,no-confident-legacy-name,9003,[Event] Favor of the Governor of Geum-Ohee Castle,1,1000,0,0,9002,The Big Handed Blue Warriors are blocking the southern entrance of the Geum-Oh Mine. Eliminate the Big Handed Blue Warriors and bring their heads to HyungJoo-SeungGong in Guem-Oh Mine. He will be happy if you give 40 heads to HyungJoo-SeungGong.|173:40;HyungJoo-SeungGong want you to get stronger for fighting with the demons. Please go back to HyungJoo-SeungGong if your level comes to 30. HyungJoo-SeungGong will tell you what you can do.|,registered-route-objective-to-bango-name,1.000,,true,true,false,false,matched-disagrees,1,1000,0,0
10,7,s1-7,Stage 7 — Milk Wetch / White Peony loop + Carcass follow-up,Lv 11-13,Jook-Suh ↔ Narootuh.,,1,Quest 7,Quest,7,Lv 11,11,"3,576 XP, 1 Skill Point",3576,0,0,1,false,"[""7.png"",""70.png""]","[""ms_m2_02.jpg""]","[{""type"":""talk"",""city"":""jook"",""pin"":""1"",""label"":""Talk""},{""type"":""talk"",""city"":""naroo"",""pin"":""6"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Big Handed Slaves — collect 22 Milk Wetch + 22 White Peony (10+10 now, 12+12 extra for Quest 9)""},{""type"":""talk"",""city"":""naroo"",""pin"":""6"",""label"":""Report""},{""type"":""talk"",""city"":""jook"",""pin"":""1"",""label"":""Turn in""}]",Quest,07,Won-jung and Yea-jin's Love,route-number-to-legacy-name,7,Won-Jung and Yae-Jin's Love,11,2500,0,1,,"The guard, Won-Jung worries about his wife so much. Give the letter to his wife, Yae-Jin in Narootuh vil.|136:1;Yae-Jin wants to make some tonic for Won-Jung, but two materials are required. Hunt the Big handed slave and collect 10 materials of Milk Vetch and White Peony.|153:10,154:10;Give the tonic and Yae-Jin's letter to Guard, Won-Jung in Jook-Suh Cargo Station.|137:1,144:1",name-content-and-level,0.696,,false,true,false,false,matched-disagrees,11,2500,0,1
